Title,Short Name,HSN Code,Barcode,Tax,MRP,Sale Price,Opening Stock,Purchase Price,Weight,Item Category,Company,Sub Category,Item Company Category,Minimum Quantity,Maximum Quantity,Reorder Quantity
PEN RS.5,PEN RS.5,96089990,PEN5,GST @12%,5.00,5.00,213.000,3.82,0.000,STATIONERY,REYNOLDS,,,,,
PEN RS.10,PEN RS.10,96089990,PEN10,GST @12%,10.00,10.00,184.000,7.68,0.000,STATIONERY,REYNOLDS,,,,,
RORITO ARGO SOFT GOLD PEN,RORITO ARGO SOFT GOL,0,8902532045684,GST @0%,50.00,50.00,0.000,35.84,0.000,STATIONERY,REYNOLDS,,,,,
REYNOLDS JETTER REVO PEN,REYNOLDS JETTER REVO,0,8902532091353,GST @5%,15.00,15.00,3.000,12.10,0.000,STATIONERY,REYNOLDS,,,,,
REYNOLDS TRIMAZ REFILL0.5ML,REYN. REFILL RS.20,0,BARCODE CHANGE,Tax 5%,20.00,20.00,0.000,15.71,0.000,STATIONERY,REYNOLDS,,,,,
EVEREADY ULTIMA AA 2PEC ALKALINE,EVEREADY ULTIMA AA 2,0,8901691008325,GST @28%,65.00,65.00,0.000,40.00,0.000,ELECTRONIC ITEMS,EVEREADY,BATTERIES,,,,
EVEREADY ULTIMA ALKALINE 2112 AAA,EVER.ULTIMA ALK AAAA,0,8901691012001,GST @28%,35.00,35.00,9.000,25.53,0.000,ELECTRONIC ITEMS,EVEREADY,BATTERIES,,,,
DURACELL LASTS LONGER MUCH LONGER AAA ,DURACELL LASTS LONGE,8506,5000394116627,GST @18%,38.00,38.00,82.000,25.77,0.000,ELECTRONIC ITEMS,DURACELL,BATTERIES,,,,
MOTHER DAIRY CHILLZ KESAR ELAICHI FLAVOURED MILK 180ML,M.D.KESAR ELAICHI MI,2202903,8901648092513,GST @12%,25.00,25.00,0.000,18.30,0.000,DRINKS AND BEVERAGES,MOTHER DAIRY,MILK BEVERAGES,,,,
EVEREADY CELL 1015AA,EVEREADY CELL 1015AA,85061000,8901691003450,GST @18%,12.50,12.50,75.000,8.12,0.000,ELECTRONIC ITEMS,EVEREADY,BATTERIES,,,,
DURACELL D 1.5V 2N,DURACELL D 1.5V 2N,0,5000394095397,GST @28%,330.00,330.00,0.000,238.61,0.000,ELECTRONIC ITEMS,DURACELL,BATTERIES,,,,
DURACELL C 1.5V 2N,DURACELL C 1.5V 2N,85061000,5000394119017,GST @18%,250.00,250.00,3.000,169.49,0.000,ELECTRONIC ITEMS,DURACELL,BATTERIES,,,,
FABER CASTELL 15 CONNECTOR PENS CONNECTOR FILZSTIFTE,F.C 15CONNECTOR PENS,9608,8901180530160,GST @12%,80.00,80.00,0.000,57.00,0.000,STATIONERY,FABER CASTELL,,,,,
FABER CASTELL 10 CONNECTOR PENS CONNECTOR FILZSTIFTE,F.C 10CO SKETCH PENS,9608,8901180530108,GST @12%,50.00,50.00,0.000,35.63,0.000,STATIONERY,FABER CASTELL,,,,,
FABER CASTELL 10 OLE GOLD SUPER DARK PENCILS,F.C 10 O.GR T.PENCIL,9609,8901180100011,GST @12%,50.00,50.00,0.000,27.94,0.000,STATIONERY,FABER CASTELL,,,,,
NAVNEET MY LONG BOOK 172PAGES,NAV.LONG BOOK ,48201010,8902442208032,Tax 5%,40.00,40.00,0.000,28.00,0.000,STATIONERY,NAVNEET,,,,,
FABER CASTELL 24 COLOUR PENCILS TRIANGULAR SHAPE,FABER CASTELL 24 COL,9609,8901180118023,GST @12%,200.00,200.00,0.000,142.50,0.000,STATIONERY,FABER CASTELL,,,,,
FABER CASTELL 12 COLOUR PENCILS TRIANGULAR SHAPE,FABER CASTELL 12 COL,9609,8901180118016,GST @12%,105.00,105.00,0.000,74.81,0.000,STATIONERY,FABER CASTELL,,,,,
NATARAJ SHARPENER RS.3,NATRJ SHARPENER RS3,0,00089,Tax 5%,3.00,3.00,3.000,2.28,0.000,STATIONERY,NATARAJ,,,,,
AMUL MASTI SPICED BUTTERMILK 1LTR,AMUL M.S.B.MILK 1LTR,403,8901262200233,GST @0%,55.00,55.00,0.000,50.60,0.000,DRINKS AND BEVERAGES,AMUL,MILK BEVERAGES,,,,
KHARBUJA,KHARBUJA,0,0011,GST @0%,55.00,55.00,5.210,36.00,0.000,FRUITS & VEGETABLES,,,,,,
FABER CASTELL 6 POSTER COLURS TIN BOX,F.C 6 POSTER COLOURS,3213,8901180410066,GST @18%,90.00,90.00,0.000,64.13,0.000,STATIONERY,FABER CASTELL,,,,,
NAVNEET FUN WAX CRAYONS 16 SHADES 1 GLITTER,NAV FN WX CR 16S 1GL,0,00124,Tax 5%,28.00,28.00,0.000,19.60,0.000,STATIONERY,NAVNEET,,,,,
FEVI STIK STICK 5GM,FEVI STIK STICK 5GM,35061000,8901860633501,GST @18%,15.00,15.00,28.000,9.94,0.000,STATIONERY,PIDILITE,,,,,
FEVI KWIK 3GM,FEVI KWIK 3GM,0,8901860010036,GST @12%,25.00,25.00,0.000,19.33,0.000,STATIONERY,PIDILITE,,,,,
NAVNEET MY 5 SUBJECT NOTEBOOK,NVNET NOTEBOOK 180,0,00132,Tax 5%,180.00,180.00,0.000,126.00,0.000,STATIONERY,NAVNEET,,,,,
NAVNEET NOTE HOLI SPECIAL SERISE 172PAGES,NAVNEET NOTE HOLI SP,4820,8902442227842,GST @12%,45.00,45.00,0.000,28.12,0.000,STATIONERY,NAVNEET,,,,,
NAVNEET BLACK WOOD PENCILS,NAVNEET BLACK WOOD P,96092000,8902442206908,GST @12%,130.00,130.00,3.000,81.25,0.000,STATIONERY,NAVNEET,,,,,
NAVNEET SOFT BOUND A4 SIZE 196PAGES,NAVNEET SOFT BOUND A,4820,8902442203556,GST @12%,72.00,72.00,0.000,54.00,0.000,STATIONERY,NAVNEET,,,,,
NAVNEET PLUS NOTE BOOK 144PAGES,NAVNEET PLUS NOTE BO,0,8904141505795,Tax 5%,27.00,27.00,0.000,20.25,0.000,STATIONERY,NAVNEET,,,,,
NAVNEET CASE BOUND 192PAGES,NAVNEET CASE BOUND 1,4820,8902442229716,GST @12%,120.00,120.00,0.000,75.00,0.000,STATIONERY,NAVNEET,,,,,
NAVNEET MY CRAFT PAPER 50 SHEETS,NAVNET CRAFT RS.38,0,8902442211155,Tax 5%,50.00,50.00,0.000,33.50,0.000,STATIONERY,NAVNEET,,,,,
NAVNEET SCHOOL NOTE BOOK 172PAGES,NAVNEET SCHOOL NOTE,0,8904141511154,Tax 5%,38.00,38.00,0.000,28.50,0.000,STATIONERY,NAVNEET,,,,,
NAVNEET MY NOTES  A6 160PAGES,NAV MY NOTES A6 160P,48201010,8902442219694,GST @12%,45.00,45.00,15.000,28.12,0.000,STATIONERY,NAVNEET,,,,,
NAVNET MY 6 SUBJECT NOTEBOOK 300 PAGES,NAV NOBO 6 SUB 300P,0,00142,Tax 5%,110.00,110.00,0.000,82.50,0.000,STATIONERY,NAVNEET,,,,,
NAVNEET SOFT BOUND A4 SIZE 172PAGES,NAVNEET SOFT BOUND A,0,8902442226760,Tax 5%,55.00,55.00,0.000,39.28,0.000,STATIONERY,NAVNEET,,,,,
NAVNEET MY SCRAP BOOK 32 PAGES,NAVNEET MY SCRAPBOOK,48201010,8902442211094,Tax 5%,40.00,40.00,9.000,21.00,0.000,STATIONERY,NAVNEET,,,,,
NAVNEET THE ORIGINAL LONG BOOK 576PAGES,NAVNEET THE ORIGINAL,4820,8902442229914,GST @12%,290.00,290.00,0.000,181.25,0.000,STATIONERY,NAVNEET,,,,,
AXE DEO SIGNATURE BODY PERFUME CHAMPION 122ML,AXE DEO CHAMPION,33072000,8901030693250,GST @18%,190.00,190.00,0.000,120.41,0.000,PERSONAL CARE,AXE,DEOS AND PERFUMES,,,,
AXE DEO OCEAN BREEZE AQUA 150ML,AXE DEO OCAQUA 150ML,33072000,8901030640698,GST @18%,190.00,190.00,0.000,126.43,0.000,PERSONAL CARE,AXE,DEOS AND PERFUMES,,,,
AXE DEO MARINE SPLASH AQUA 150ML,AXE DEO MARINE SPLAS,33072000,8901030640704,GST @18%,199.00,199.00,0.000,132.42,0.000,PERSONAL CARE,AXE,DEOS AND PERFUMES,,,,
AXE DEO MUSICSTAR 150ML,AXE DEO MUSICSTR150M,0,8901030440014,GST @12%,180.00,180.00,0.000,139.13,0.000,PERSONAL CARE,AXE,DEOS AND PERFUMES,,,,
AXE DEO DARK TEMPTATION 150ML,AXE DEO TEMPT 150ML,3307,8901030557675,GST @18%,190.00,190.00,0.000,126.43,0.000,PERSONAL CARE,AXE,DEOS AND PERFUMES,,,,
WILD STONE BODY DEODORANT HYDRA ENERGY 150ML,WI.ST.HYDRA ENERGY ,3307,8904006302743,GST @18%,180.00,180.00,0.000,114.41,0.000,PERSONAL CARE,WILD STONE,DEOS AND PERFUMES,,,,
NIVEA DEO ENERGY FRESH 150ML,NIVEA DEO ENERGY FRE,33072000,4005900017901,GST @28%,199.00,199.00,1.000,141.34,0.000,PERSONAL CARE,NIVEA,DEOS AND PERFUMES,,,,
NIVEA DEO WHITENING SENSITIVE 150ML,NIVEA DE.SEN.,33072000,8904256001670,GST @18%,199.00,199.00,1.000,122.65,0.000,PERSONAL CARE,NIVEA,DEOS AND PERFUMES,,,,
NIVEA MEN DEO FRESH ACTIVE 75ML,NIVEA DEO FRE ACTIV,0,4005808726240,GST @12%,225.00,225.00,0.000,181.82,0.000,PERSONAL CARE,NIVEA,DEOS AND PERFUMES,,,,
NIVEA DEO PEARL & BEAUTY GENTLE CARE ROLL ON 50ML,NIV DEO ROLL PER BEA,33072000,4005900294517,GST @18%,185.00,185.00,0.000,113.63,0.000,PERSONAL CARE,NIVEA,DEOS AND PERFUMES,,,,
NIVEA MEN DEO COOL KICK ROLL ON 50ML,NIV MEN D COOL K ROL,33072000,4005900294487,GST @18%,165.00,165.00,3.000,101.35,0.000,PERSONAL CARE,NIVEA,DEOS AND PERFUMES,,,,
NIVEA DEO MEN SILVER PROTECT ANTIBACTERIAL150ML,NIV DEO SILVER PROTE,33072000,8904256001700,GST @18%,199.00,199.00,1.000,122.65,0.000,PERSONAL CARE,NIVEA,DEOS AND PERFUMES,,,,
GALA LAXMI PHOOL JHROO,GALA LAXMI PHOOL JHR,96031000,8901663102723,GST @0%,150.00,150.00,0.000,120.00,0.000,HOUSEHOLD;KITCHEN;BATHROOM,GALA,HOUSEHOLD ACCESSORIES,,,,
