Title,Short Name,HSN Code,Barcode,Tax,MRP,Sale Price,Opening Stock,Purchase Price,Weight,Item Category,Item Company,Sub Category,Item Company Category,Minimum Quantity,Maximum Quantity,Reorder Quantity
PEN RS.5,PEN RS.5,96089990,PEN5,GST @12%,5,5,224,3.82,0,STATIONERY,REYNOLDS,<Add New>,,,,
PEN RS.10,PEN RS.10,96089990,PEN10,GST @12%,10,10,111,5.8,0,STATIONERY,REYNOLDS,<Add New>,,,,
RORITO ARGO SOFT GOLD PEN,RORITO ARGO SOFT GOL,0,8902530000000,GST @0%,50,50,0,35.84,0,STATIONERY,REYNOLDS,<Add New>,,,,
PEN RS.6,PEN RS.6,96089990,8,GST @12%,6,6,0,3.69,0,STATIONERY,REYNOLDS,<Add New>,,,,
REYNOLDS JETTER REVO PEN,REYNOLDS JETTER REVO,0,8902530000000,GST @5%,15,15,3,12.1,36.3,STATIONERY,REYNOLDS,<Add New>,,,,
REYNOLDS TRIMAZ REFILL0.5ML,REYN. REFILL RS.20,0,BARCODE CHANGE,Tax 5%,20,20,0,15.71,0,STATIONERY,REYNOLDS,<Add New>,,,,
EVEREADY ULTIMA AA 2PEC ALKALINE,EVEREADY ULTIMA AA 2,0,8901690000000,GST @28%,65,65,0,40,0,ELECTRONIC ITEMS,EVEREADY,BATTERIES,,,,
EVEREADY ULTIMA ALKALINE 2112 AAA,EVER.ULTIMA ALK AAAA,0,8901690000000,GST @28%,35,35,71,25.53,1812.63,ELECTRONIC ITEMS,EVEREADY,BATTERIES,,,,
DURACELL LASTS LONGER MUCH LONGER AAA 2025,DURACELL LASTS LONGE,8506,5000390000000,GST @18%,38,38,133,25.77,3427.41,ELECTRONIC ITEMS,DURACELL,BATTERIES,,,,
MOTHER DAIRY CHILLZ KESAR ELAICHI FLAVOURED MILK 180ML,M.D.KESAR ELAICHI MI,2202903,8901650000000,GST @12%,22,22,3,16.07,48.21,DRINKS AND BEVERAGES,MOTHER DAIRY,MILK BEVERAGES,,,,
EVEREADY CELL 1015AA,EVEREADY CELL 1015AA,85061000,8901690000000,GST @18%,15,15,88,8.7,765.6,ELECTRONIC ITEMS,EVEREADY,BATTERIES,,,,
DURACELL D 1.5V 2N,DURACELL D 1.5V 2N,0,5000390000000,GST @28%,330,330,0,238.61,0,ELECTRONIC ITEMS,DURACELL,BATTERIES,,,,
DURACELL C 1.5V 2N,DURACELL C 1.5V 2N,85061000,5000390000000,GST @18%,250,250,8,169.49,1355.92,ELECTRONIC ITEMS,DURACELL,BATTERIES,,,,
NAVNEET MY LONG BOOK 172PAGES,NAV.LONG BOOK ,48201010,8902440000000,Tax 5%,40,40,1,28,28,STATIONERY,NAVNEET,<Add New>,,,,
NATARAJ SHARPENER RS.3,NATRJ SHARPENER RS3,0,8901725102258,Tax 5%,3,3,0,2.28,0,STATIONERY,NATARAJ,<Add New>,,,,
AMUL MASTI SPICED BUTTERMILK 1LTR,AMUL M.S.B.MILK 1LTR,0,8901260000000,GST @0%,50,50,0,46.85,0,DRINKS AND BEVERAGES,AMUL,MILK BEVERAGES,,,,
KHARBUJA,KHARBUJA,0,11,GST @0%,50,50,-0.163,30,-4.89,FRUITS & VEGETABLES,<Add New>,<Add New>,,,,
NAVNEET FUN WAX CRAYONS 16 SHADES 1 GLITTER,NAV FN WX CR 16S 1GL,0,124,Tax 5%,28,28,0,19.6,0,STATIONERY,NAVNEET,<Add New>,,,,
FEVI STIK STICK 5GM,FEVI STIK STICK 5GM,35061000,8901860000000,GST @18%,15,15,1,9.94,9.94,STATIONERY,PIDILITE,<Add New>,,,,
FEVI KWIK 3GM,FEVI KWIK 3GM,0,8901860000000,GST @12%,25,25,52,19.33,1005.16,STATIONERY,PIDILITE,<Add New>,,,,
NAVNEET MY 5 SUBJECT NOTEBOOK,NVNET NOTEBOOK 180,0,132,Tax 5%,180,180,0,126,0,STATIONERY,NAVNEET,<Add New>,,,,
NAVNEET NOTE HOLI SPECIAL SERISE 172PAGES,NAVNEET NOTE HOLI SP,4820,8902440000000,GST @12%,45,45,0,28.12,0,STATIONERY,NAVNEET,<Add New>,,,,
NAVNEET BLACK WOOD PENCILS,NAVNEET BLACK WOOD P,96092000,8902440000000,GST @12%,130,130,0,81.25,0,STATIONERY,NAVNEET,<Add New>,,,,
NAVNEET SOFT BOUND A4 SIZE 196PAGES,NAVNEET SOFT BOUND A,4820,8902440000000,GST @12%,72,72,0,45,0,STATIONERY,NAVNEET,<Add New>,,,,
