Prod Code,Product,MRP,Opening,Adjustment,Purchase,Pur Return,Sale,Schem,Combo,Issue,Deliver Recipt,Production,Stock Rsv,Stock Trans,Expiry,Total
2,PEN RS.5,5,150,0,0,0,5,0,0,0,0,0,0,0,0,145
3,PEN RS.10,10,43,0,0,0,6,0,0,0,0,0,0,0,0,37
5,RORITO ARGO SOFT GOLD PEN,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,REYNOLDS JETTER REVO PEN,15,3,0,0,0,0,0,0,0,0,0,0,0,0,3
15,REYNOLDS TRIMAZ REFILL0.5ML,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,EVEREADY ULTIMA AA 2PEC ALKALINE,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,EVEREADY ULTIMA ALKALINE 2112 AAA,35,2,0,0,0,0,0,0,0,0,0,0,0,0,2
28,DURACELL LASTS LONGER MUCH LONGER AAA ,38,124,0,0,0,0,0,0,0,0,0,0,0,0,124
32,MOTHER DAIRY CHILLZ KESAR ELAICHI FLAVOURED MILK 180ML,25,16,0,0,0,0,0,0,0,0,0,0,0,0,16
34,EVEREADY CELL 1015AA,12.5,35,0,0,0,0,0,0,0,0,0,0,0,0,35
37,DURACELL D 1.5V 2N,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,DURACELL C 1.5V 2N,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,FABER CASTELL 15 CONNECTOR PENS CONNECTOR FILZSTIFTE,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,FABER CASTELL 10 CONNECTOR PENS CONNECTOR FILZSTIFTE,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,FABER CASTELL 10 OLE GOLD SUPER DARK PENCILS,50,25,0,0,0,0,0,0,0,0,0,0,0,0,25
74,NAVNEET MY LONG BOOK 172PAGES,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,FABER CASTELL 24 COLOUR PENCILS TRIANGULAR SHAPE,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,FABER CASTELL 12 COLOUR PENCILS TRIANGULAR SHAPE,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,NATARAJ SHARPENER RS.3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3
98,AMUL MASTI SPICED BUTTERMILK 1LTR,55,4,0,0,0,2,0,0,0,0,0,0,0,0,2
120,KHARBUJA,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,FABER CASTELL 6 POSTER COLURS TIN BOX,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,NAVNEET FUN WAX CRAYONS 16 SHADES 1 GLITTER,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,FEVI STIK STICK 5GM,15,22,0,0,0,0,0,0,0,0,0,0,0,0,22
141,FEVI KWIK 3GM,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,NAVNEET MY 5 SUBJECT NOTEBOOK,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,NAVNEET NOTE HOLI SPECIAL SERISE 172PAGES,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,NAVNEET BLACK WOOD PENCILS,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,NAVNEET SOFT BOUND A4 SIZE 196PAGES,72,2,0,0,0,0,0,0,0,0,0,0,0,0,2
148,NAVNEET PLUS NOTE BOOK 144PAGES,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,NAVNEET CASE BOUND 192PAGES,120,5,0,0,0,0,0,0,0,0,0,0,0,0,5
151,NAVNEET MY CRAFT PAPER 50 SHEETS,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,NAVNEET SCHOOL NOTE BOOK 172PAGES,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,NAVNEET MY NOTES  A6 160PAGES,45,1,0,0,0,0,0,0,0,0,0,0,0,0,1
154,NAVNET MY 6 SUBJECT NOTEBOOK 300 PAGES,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,NAVNEET SOFT BOUND A4 SIZE 172PAGES,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,NAVNEET MY SCRAP BOOK 32 PAGES,40,6,0,0,0,0,0,0,0,0,0,0,0,0,6
158,NAVNEET THE ORIGINAL LONG BOOK 576PAGES,290,1,0,0,0,0,0,0,0,0,0,0,0,0,1
159,AXE DEO SIGNATURE BODY PERFUME CHAMPION 122ML,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,AXE DEO OCEAN BREEZE AQUA 150ML,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,AXE DEO MARINE SPLASH AQUA 150ML,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,AXE DEO MUSICSTAR 150ML,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,AXE DEO DARK TEMPTATION 150ML,190,1,0,0,0,0,0,0,0,0,0,0,0,0,1
172,WILD STONE BODY DEODORANT HYDRA ENERGY 150ML,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,NIVEA DEO ENERGY FRESH 150ML,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,NIVEA DEO WHITENING SENSITIVE 150ML,199,1,0,0,0,0,0,0,0,0,0,0,0,0,1
178,NIVEA MEN DEO FRESH ACTIVE 75ML,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,NIVEA DEO PEARL & BEAUTY GENTLE CARE ROLL ON 50ML,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,NIVEA MEN DEO COOL KICK ROLL ON 50ML,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,NIVEA DEO MEN SILVER PROTECT ANTIBACTERIAL150ML,199,1,0,0,0,0,0,0,0,0,0,0,0,0,1
184,GALA LAXMI PHOOL JHROO,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,WILD STONE DEO NIGHT RIDER 150ML,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,AXE DEO SIGNATURE BODY PERFUME MYSTERIOUS 125ML,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,WILD STONE DEO JUICE 150ML,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,NIVEA MEN DEO FRESH ACTIVE ROLL ON 50ML,165,1,0,0,0,0,0,0,0,0,0,0,0,0,1
189,D-SPARKLE DISINFECTANT TOILET CLENER 2X500ML,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,KNORR SOUP SWEET & SOUR NOODLE 50GM,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,NIVEA FACE WASH PURIFYING MIXED TO OILY SKIN 55ML,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,MOTHER DAIRY ICE CREAM ORANGE FRUITOLIC 60ML,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,PLAYBOY DEO PLAY IT SPICY 150ML,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,ONKAA MANJEETS BLACK SALT 200GM,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,ORGANIC NATION SWEET LIME PICKLE 400GM,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,FUN FOODS VEG MAYONNAISE EGGLESS 875GM,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,SURE ROLL ON WOMEN FREE SPIRIT 40ML,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,SURE ROLL ON WOMEN PASSION 40ML,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,SURE ROLL ON WOMEN PASSION 25ML,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,SURE ROLL ON WOMEN FREE SPIRIT 25ML,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,HIMALAYA NOURISHING SKIN CREAM 50ML,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,WILD STONE DEO DRIFT 120ML,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,PASEO ELEGANT HYGIENIC SOFT AND NATURAL NAPKIN 30X30 50SHEETS,70,11,0,0,0,0,0,0,0,0,0,0,0,0,11
211,COLGATE TOOTH BRUSH KIDS 2 GENTLE  SOFT,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,PARK AVENUE DEO GOOD MORNING 150ML,199,1,0,0,0,0,0,0,0,0,0,0,0,0,1
213,PARK AVENUE DEO ALPHA 150ML,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,HARRISON CI PAD LOCK 20MM,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,PARK AVENUE DEO TRANQUIL 150ML,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,HARRISON CI PAD LOCK 40MM,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,PARK AVENUE DEO VOYAGE 150ML,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,PARK AVENUE DEO ALTER EGO 150ML,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,HARRISON CI PAD LOCK 30MM,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,PARK AVENUE DEO IMAGINE 150ML,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,HARRISON T-26 60MM,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,HARRISON T-26 50MM,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,HARRISON T-26 55MM,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,SUNDROP PEANUT BUTTER CREAMY,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,BOX RS.80,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,GATSBY STYLING WAX POWER & SPIKES 75GM,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,OLD SPICE DEO MUSK 150ML,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,OLD SPICE DEO WHITEWATER150ML,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,SANWAK RICE 500GM,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,RITA TILE BRUSH,40,2,0,0,0,0,0,0,0,0,0,0,0,0,2
235,DESI CUCUMBER,43,1.076,0,5,0,1.806,0,0,0,0,0,0,0,0,4.27
238,GARNIER FRUCTIS SHAMPOO LONG & STRONG 640ML,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,CHANNA BURFI 500GM,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243,BHUSHA PLAIN BURFI 500GM,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,BADAM BURFI 500GM,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249,BADAM BUGGA BURFI 500GM,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,ODONIL NATURE AIR FRESHNER JASMINE MIST HANGER50GM,43,1,0,0,0,0,0,0,0,0,0,0,0,0,1
252,WILD STONE DEO AQUA FRESH 100ML,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264,COLGATE TOOTH PASTE ACTIVE SALT HEALTHY WHITE 200GM,97,2,0,0,0,0,0,0,0,0,0,0,0,0,2
268,MEDIMIX SOAP TURMERIC & ARGAN OIL 5X125GM,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,PREMIUM EAU DE COLONGE COMBO 200GM,160,1,0,0,0,0,0,0,0,0,0,0,0,0,1
270,LAKME SUN EXPERT SPF 30 ULTRA MATTE LOTION LIGHT & NON STICKY 50ML,204,3,0,0,0,0,0,0,0,0,0,0,0,0,3
271,PARK AVENUE SHAVING BRUSH SILVER,80,1,0,0,0,0,0,0,0,0,0,0,0,0,1
276,PARK AVENUE AFTER SHAVE LOTION GOOD MORNING 50ML,125,1,0,0,0,0,0,0,0,0,0,0,0,0,1
277,PARK AVENUE AFTER SHAVE LOTION ACE 50ML,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,OLD SPICE AFTER SHAVE LOTION MUSK 150ML,215,2,0,0,0,0,0,0,0,0,0,0,0,0,2
285,PARK AVENUE SHAVING CREAM CLASSIC 30GM,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286,PARK AVENUE LATHER SHAVING CREAM GOOD MORNING 70GM,65,3,0,0,0,0,0,0,0,0,0,0,0,0,3
288,GODREJ SHAVING CREAM LEMON FRESH 100GM,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,PARK AVENUE AFTER SHAVE LOTION GOOD MORNING WITH SPRAY 100ML,135,1,0,0,0,0,0,0,0,0,0,0,0,0,1
293,YARDLEY AFTER SHAVE LOTION ELEGANCE WITH ALOE VERA 50ML,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,WILD STONE AFTER SHAVE LOTION ULTRA SENSUAL 100ML,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,AXE AFTERSHAVE LOTION DARK TEMPTATION 100ML,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,DETTOL LATHER SHAVING CREAM FRESH 90GM,75,2,0,0,0,0,0,0,0,0,0,0,0,0,2
305,DETTOL LATHER SHAVING CREAM COOL 90GM,68,4,0,0,0,1,0,0,0,0,0,0,0,0,3
306,PARLE MILANO MINIS CHOCOLATE CHIP COOKIES 100GM,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,OLD SPICE SHAVE FOAM ORIGINAL 250GM,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,OLD SPICE SHAVE FOAM FRESH LIME 250GM,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313,OLD SPICE LATHER SHAVING CREAM FRESH LIME 70GM,65,2,0,0,0,0,0,0,0,0,0,0,0,0,2
314,OLD SPICE LATHER SHAVING CREAM ORIGINAL 70GM,65,3,0,0,0,0,0,0,0,0,0,0,0,0,3
315,OLD SPICE LATHER SHAVING CREAM MUSK 70GM,65,2,0,0,0,0,0,0,0,0,0,0,0,0,2
316,PARLE MILANO DELICIOUSLY RICH CHOCOLATE CHIP COOKIES 150GM,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,GILLETTE SHAVING FOAM SENSITIVE 245GM,285,1,0,0,0,0,0,0,0,0,0,0,0,0,1
322,GILLETTE BODY SPRAY SPORT PROTECT 150ML,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0
323,GILLETTE SHAVING GEL REGULAR 60GM,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,YARDLEY LATHER SHAVING CREAM GOLD 70GM,60,3,0,0,0,0,0,0,0,0,0,0,0,0,3
326,LIA PRIME ROSE AGARBATHIES 75GM,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
327,LIA PRIME ROSE AGARBATHIES 280GM,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
328,LIA CHANDANAM DIVINE & SOOTHING 35GM,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
329,LIA SAMTRUPTI AGARBATHIES 75GM,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,LIA NATURE GIFT AGARBATHIES 35GM,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
331,LIA JASMINE AGARBATHIES 35GM,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
332,LIA CHANDANAM AGARBATHIES 20GM,10,1,0,0,0,0,0,0,0,0,0,0,0,0,1
333,LIA NATURES GIFT 35GM,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
338,LIA SAMTRUPTI AGARBATHIES 130GM,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
341,MTR GULAB JAMUN 150GM,65,1,0,0,0,0,0,0,0,0,0,0,0,0,1
343,CYCLE SANDALUM AGARBATHIES 12N,10,10,0,0,0,2,0,0,0,0,0,0,0,0,8
346,CYCLE THREE IN ONE AGARBATHIES 115GM,50,4,0,0,0,0,0,0,0,0,0,0,0,0,4
